ID,COMPANY,SYMBOL,INDUSTRY,QUOTE_DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,VOLUME,SHARES
12246541,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-08-29,8.17,8.18,8.09,8.18,8200,20000000
12246542,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-08-28,8.04,8.25,7.83,8.25,8400,20000000
12246543,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-08-27,8.24,8.39,8.2,8.39,900,20000000
12246544,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-08-26,8.01,8.1,7.9,8.1,1100,20000000
12246545,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-08-25,8.38,8.5,8.14,8.38,7100,20000000
12246546,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-08-22,8.19,8.31,8.18,8.3,3200,20000000
12246547,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-08-21,8.36,8.36,8.06,8.18,5500,20000000
12246548,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-08-20,8.21,8.22,8.06,8.12,1600,20000000
12246549,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-08-19,8.18,8.18,8,8.05,600,20000000
12246550,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-08-18,8.07,8.11,7.91,8.1,81200,20000000
12246551,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-08-15,8.05,8.12,8,8.08,35700,20000000
12246552,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-08-14,8.03,8.25,8,8.04,65700,20000000
12246553,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-08-13,8.25,8.25,7.98,7.99,69800,20000000
12246554,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-08-12,8.15,8.28,7.64,8.28,1300,20000000
12246555,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-08-11,8.41,8.5,8.32,8.39,16600,20000000
12246556,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-08-08,8.35,8.85,8.3,8.5,3400,20000000
12246557,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-08-07,8.82,8.82,8.45,8.45,15300,20000000
12246558,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-08-06,8.79,8.9,8.76,8.82,700,20000000
12246559,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-08-05,8.82,9.35,8.81,9,5800,20000000
12246560,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-08-04,9.09,9.09,9.09,9.09,0,20000000
12246561,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-08-01,9.1,9.1,9.09,9.09,200,20000000
12246562,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-07-31,9.3,9.3,9.08,9.08,3900,20000000
12246563,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-07-30,9.28,9.28,9.04,9.25,600,20000000
12246564,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-07-29,9.23,9.26,9.23,9.26,500,20000000
12246565,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-07-28,9.32,9.32,9.29,9.3,1900,20000000
12246566,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-07-25,9.49,9.49,9.49,9.49,100,20000000
12246567,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-07-24,9.59,9.68,9.59,9.68,200,20000000
12246568,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-07-23,10.01,10.03,9.87,9.9,9100,20000000
12246569,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-07-22,9.95,9.95,9.95,9.95,0,20000000
12246570,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-07-21,9.69,9.95,9.69,9.95,2100,20000000
12246571,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-07-18,9.25,9.25,9.25,9.25,0,20000000
12246572,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-07-17,9.16,9.25,8.96,9.25,6100,20000000
12246573,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-07-16,8.65,8.65,8.65,8.65,0,20000000
12246574,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-07-15,8.71,8.84,8.54,8.65,6600,20000000
12246575,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-07-14,8.76,8.92,8.32,8.59,3200,20000000
12246576,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-07-11,8.81,8.87,8.66,8.87,2100,20000000
12246577,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-07-10,9.36,9.36,9,9,3500,20000000
12246578,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-07-09,9.49,9.57,9.41,9.49,16000,20000000
12246579,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-07-08,9.15,9.2,9.03,9.03,17300,20000000
12246580,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-07-07,9.06,9.13,9.06,9.13,24800,20000000
12246581,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-07-03,8.62,8.7,8.62,8.7,1700,20000000
12246582,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-07-02,9.34,9.34,8.93,8.93,1800,20000000
12246583,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-07-01,9.6,9.66,9.6,9.66,5700,20000000
12246584,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-06-30,9.87,9.95,9.52,9.72,5500,20000000
12246585,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-06-27,10.04,10.04,9.97,10.03,1100,20000000
12246586,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-06-26,10.08,10.08,9.91,9.91,600,20000000
12246587,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-06-25,10.3,10.3,10.05,10.21,3100,20000000
12246588,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-06-24,10.42,10.42,10.09,10.09,65600,20000000
12246589,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-06-23,10.71,10.77,10.53,10.53,12600,20000000
12246590,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-06-20,11.4,11.4,11.1,11.16,14800,20000000
12246591,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-06-19,11.16,11.16,11.16,11.16,100,20000000
12246592,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-06-18,11.08,11.17,11.08,11.12,2300,20000000
12246593,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-06-17,11.19,11.22,11.15,11.15,6500,20000000
12246594,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-06-16,11.24,11.43,11.24,11.3,5400,20000000
12246595,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-06-13,11.16,11.27,11.15,11.18,1000,20000000
12246596,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-06-12,11.16,11.16,11.16,11.16,100,20000000
12246597,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-06-11,11.41,11.41,11.15,11.17,1600,20000000
12246598,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-06-10,11.15,11.34,11.15,11.18,900,20000000
12246599,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-06-09,11.19,11.19,11.18,11.18,500,20000000
12246600,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-06-06,11.11,11.11,11.11,11.11,0,20000000
12246601,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-06-05,11.04,11.11,10.99,11.11,900,20000000
12246602,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-06-04,11.07,11.07,11.04,11.06,4600,20000000
12246603,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-06-03,11.41,11.43,11.4,11.43,7300,20000000
12246604,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-06-02,11.52,11.58,11.23,11.4,79800,20000000
12246605,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-05-30,11.49,11.5,11.25,11.33,11600,20000000
12246606,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-05-29,11.63,11.63,11.26,11.39,2500,20000000
12246607,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-05-28,11.18,11.18,10.7,11.07,8900,20000000
12246608,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-05-27,11.4,11.5,11.1,11.28,8700,20000000
12246609,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-05-23,11.22,11.43,11.22,11.43,6000,20000000
12246610,"012Smile.Communications Ltd. (ADR)",SMLC,"Diversified Communication Services",2008-05-22,11.5,11.5,10.55,11.1,3400,20000000
